"",""," ","","","","","","","","","","","","","","",""
"",""," ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Demonstrativo Mensal das Incidências Criminais 2015 - Roubo de Veículos","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Áreas   \   Períodos","","M         E          S          E          S","","","","","","","","","","","","TOTAL","",""
"","UOp","UNIDADES POLICIAIS","JAN ","FEV","MAR","ABR","MAI","JUN","JUL","AGO","SET","OUT","NOV","DEZ","","",""
"","5º BPM","001a. Praça Mauá","1","1","0","2","1","0","0","2","0","0","0","0","7","",""
"","5º BPM","004a. Praça da República","7","8","5","12","6","2","9","3","0","0","0","0","52","",""
"","5º BPM","005a. Mem de Sá ","5","0","7","1","0","1","3","1","0","0","0","0","18","",""
"","4º BPM","006a. Cidade Nova","9","4","6","7","14","3","8","2","0","0","0","0","53","",""
"","5º BPM","007a. Santa Tereza","12","3","5","1","3","2","2","1","0","0","0","0","29","",""
"","2º BPM","009a. Catete","14","7","12","10","11","4","12","3","0","0","0","0","73","",""
